30	-3420	5063	
156	-3454	4762	
260	-3614	4377	
732	-3964	3796	
768	-3944	3819	
1042	-4028	3703	
1558	-3968	3657	
1502	-4040	3685	
1838	-4088	3710	
2184	-4056	3870	
2372	-4062	4251	
2670	-4048	4422	
2536	-3950	4949	
2124	-3930	5400	
1946	-3830	5527	
1398	-3628	5594	
930	-3626	5512	
764	-3334	5438	
614	-3288	5326	
512	-3310	5194	
340	-3334	5227	
170	-3424	4955	
140	-3552	4681	
220	-3416	4709	
390	-3800	4249	
834	-3936	3818	
1490	-4064	3739	
2418	-4082	4129	
2562	-4076	4680	
2364	-3870	5241	
1532	-3626	5547	
976	-3352	5603	
640	-3186	5472	
386	-3218	5241	
