2578	-2316	5449	
2702	-2234	5038	
2748	-2204	4899	
2736	-2044	4622	
2822	-1914	4502	
2930	-1742	4440	
3014	-1636	4371	
2988	-1528	4359	
3018	-1256	4329	
3076	-886	4274	
3046	-674	4512	
3044	-298	4572	
3080	-302	4735	
3090	-174	4845	
3012	-126	5155	
3006	-98	5240	
3042	-180	5399	
2898	-368	5915	
3014	-418	5894	
2868	-522	6080	
2836	-780	6124	
2796	-1100	6147	
2658	-1292	6134	
2690	-1334	6064	
2532	-1594	6046	
2468	-1656	5977	
2352	-1744	5915	
2320	-1830	5853	
2238	-2004	5759	
2308	-1970	5771	
2410	-2102	5781	
2542	-2164	5611	
2594	-2218	5558	
2660	-2234	5434	
