-688	-3468	4445	
-766	-3458	4543	
-732	-3492	4187	
-716	-3528	4154	
-478	-3666	3950	
-524	-3712	3900	
-334	-3756	3770	
-86	-3848	3515	
276	-3860	3553	
560	-3962	3581	
702	-3898	3551	
942	-3980	3690	
1046	-3936	3807	
1210	-3950	3920	
1392	-3992	4095	
1432	-3970	4316	
1462	-3960	4395	
1476	-3964	4507	
1508	-3988	4564	
2082	-3678	5383	
1502	-3936	4738	
1302	-3914	4955	
1288	-3888	5089	
1060	-3938	5292	
454	-3772	5496	
318	-3758	5412	
260	-3726	5464	
-202	-3598	5239	
-170	-3658	5191	
-304	-3520	5062	
-488	-3504	4917	
-486	-3462	4928	
-552	-3434	4887	
-566	-3464	4843	
-634	-3472	4724	
-660	-3436	4614	
-714	-3458	4498	
