2800	-2120	3558	
2880	-2152	3446	
2980	-2136	3385	
3046	-2050	3119	
3116	-1710	2819	
3216	-1746	2823	
3226	-1572	2711	
3168	-1410	2621	
3234	-754	2605	
3248	-888	2541	
3186	-656	2441	
3324	-534	2693	
3268	-418	2816	
3256	-192	2903	
3274	-86	3098	
3286	10	3363	
3186	-4	3879	
3086	-266	4300	
2678	-2210	3451	
2938	-2058	3060	
3016	-1910	2789	
3152	-1612	2625	
3238	-966	2472	
3158	-372	2745	
3164	-124	3178	
3040	360	3615	
2958	32	4133	
3014	-298	4272	
2914	-650	4336	
2760	-1012	4395	
2540	-1248	4336	
2486	-1506	4355	
2558	-1788	4339	
2454	60	3864	
2260	158	3688	
2346	28	3935	
2350	80	3911	
2572	-96	4168	
2824	-354	4379	
2954	-1070	4635	
3176	-2008	4015	
3288	-2060	4003	
3288	-2068	3663	
3300	-2120	3385	
3400	-2008	2899	
3318	-1624	2566	
3272	-1222	2428	
3120	-762	2578	
2956	-230	2785	
2770	-78	3176	
2532	20	3442	
2418	102	3608	
