-814	-3370	5191	
-790	-3430	5075	
-706	-3478	4880	
-480	-3640	4557	
-516	-3674	4482	
-374	-3710	4442	
-160	-3766	4343	
102	-3820	4219	
422	-3862	4148	
822	-3868	4179	
1050	-3872	4438	
1156	-3894	4362	
1372	-3904	4680	
1692	-3784	5074	
1484	-3874	5391	
1454	-3846	5303	
1382	-3800	5563	
1132	-3772	5864	
1136	-3700	5901	
746	-3668	6107	
686	-3692	6041	
472	-3616	6101	
176	-3470	6128	
-38	-3406	5959	
-116	-3392	5922	
-348	-3228	5823	
-210	-3332	5781	
-532	-3268	5566	
-538	-3292	5646	
-492	-3376	5497	
-430	-3544	5247	
-666	-3380	5237	
