2792	-286	4741	
2856	-278	4847	
2858	-314	4970	
2872	-434	5083	
2882	-476	5187	
2800	-740	5352	
2880	-808	5427	
2900	-1076	5442	
2878	-1310	5510	
2966	-1482	5446	
2924	-1662	5332	
2972	-1814	5321	
2996	-1964	5101	
3064	-2158	4941	
3068	-2122	4889	
3066	-2190	4792	
3070	-2172	4398	
3084	-2082	4285	
3072	-1954	4149	
3084	-1844	3995	
3024	-1694	3821	
2994	-1430	3686	
2974	-1152	3693	
2922	-1112	3766	
2792	-908	3711	
2718	-740	3742	
2576	-546	3859	
2534	-436	4021	
2526	-412	4062	
2582	-340	4132	
2480	-358	4158	
2540	-296	4219	
2520	-156	4569	
