1772	-3538	1638	
1834	-3568	1743	
1800	-3600	1636	
1796	-3520	1561	
1838	-3542	1570	
1826	-3512	1635	
1754	-3568	1675	
1818	-3534	1668	
1862	-3548	1663	
2972	-2898	863	
1942	-1482	3582	
2584	-1148	-846	
640	-2718	-759	
552	-2632	-1060	
468	-2692	-1091	
540	-2670	-960	
556	-2676	-905	
538	-2624	-1118	
604	-2664	-953	
578	-2730	-1021	
1898	-3518	1659	
1746	-3606	1639	
1706	-3596	1657	
